"id","scientificName","scientificNameAuthorship","eventDate","decimalLongitude","decimalLatitude","institutionCode","collectionCode","catalogNumber","scientificNameID","originalscientificname","acceptedNameUsage","acceptedNameUsageID","accessRights","associatedMedia","associatedReferences","associatedSequences","associatedTaxa","basisOfRecord","behavior","bibliographicCitation","class","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","countryCode","county","dataGeneralizations","datasetID","dateIdentified","depth","division","dynamicProperties","establishmentMeans","eventID","eventRemarks","eventTime","family","fieldNotes","fieldNumber","footprintSRS","footprintWKT","forma","genus","geodeticDatum","habitat","higherClassification","higherGeography","higherGeographyID","identificationID","identificationQualifier","identificationReferences","identificationRemarks","identifiedBy","individualCount","individualID","informationWithheld","infraclass","infrakingdom","infraorder","infraphylum","institutionID","island","islandGroup","kingdom","language","lifeStage","locality","locationAccordingTo","locationID","locationRemarks","materialSampleID","maximumDepthInMeters","minimumDepthInMeters","modified","municipality","nameAccordingTo","nameAccordingToID","namePublishedIn","namePublishedInID","occurrenceID","occurrenceRemarks","occurrenceStatus","order","originalNameUsage","originalNameUsageID","otherCatalogNumbers","ownerInstitutionCode","parvorder","phylum","qc","recordNumber","recordedBy","references","reproductiveCondition","resource_id","rights","rightsHolder","section","sex","source","species","stateProvince","subclass","subdivision","subfamily","subforma","subgenus","subkingdom","suborder","subphylum","subsection","subspecies","subterclass","subtribe","subvariety","superclass","superfamily","superorder","supertribe","taxonConceptID","taxonID","taxonRank","taxonRemarks","taxonomicStatus","taxonomicgroup","tribe","type","typeStatus","valid_id","variety","vernacularName","waterBody","worms_id","year"
158996,"Aurelia aurita","(Linnaeus, 1758)","1906-07-23 12:00:00",136,35,"USNM","Invertebrate Zoology: Coelenterates","29787.16640","urn:lsid:marinespecies.org:taxname:135306","Aurelia aurita",,,,,,,,,,,"Scyphozoa",,,,,,,,,,,,,,,,,"Ulmaridae",,,,,,"Aurelia",,,,,,,,,,,"1",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",1002929759,,,,,500,,,,,,"Aurelia aurita",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,408472,,,,135306,"1906"
1173947,"Aurelia aurita","(Linnaeus, 1758)","1949-07-31 12:00:00",-59,55.5,"USNM","Invertebrate Zoology: Coelenterates","53663.26945","urn:lsid:marinespecies.org:taxname:135306","Aurelia aurita",,,,,,,,,,,"Scyphozoa",,,,,,,,,,2.5,,,,,,,"Ulmaridae",,,,,,"Aurelia",,,,,,,,,,,"5",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",1057455743,,,,,500,,,,,,"Aurelia aurita",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,408472,,,,135306,"1949"
1314963,"Aurelia aurita","(Linnaeus, 1758)","1900-08-19 12:00:00",-167,53,"USNM","Invertebrate Zoology: Coelenterates","29971.16825","urn:lsid:marinespecies.org:taxname:135306","Aurelia aurita",,,,,,,,,,,"Scyphozoa",,,,,,,,,,,,,,,,,"Ulmaridae",,,,,,"Aurelia",,,,,,,,,,,"3",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",990346879,,,,,500,,,,,,"Aurelia aurita",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,408472,,,,135306,"1900"
1436506,"Aurelia aurita","(Linnaeus, 1758)","1978-06-25 12:00:00",-54.5330009460449,40.083000183105504,"USNM","Invertebrate Zoology: Coelenterates","58272.31379","urn:lsid:marinespecies.org:taxname:135306","Aurelia aurita",,,,,,,,,,,"Scyphozoa",,,,,,,,,,,,,,,,,"Ulmaridae",,,,,,"Aurelia",,,,,,,,,,,"1",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",1070038655,,,,,500,,,,,,"Aurelia aurita",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,408472,,,,135306,"1978"
1456652,"Aurelia aurita","(Linnaeus, 1758)","1967-03-26 12:00:00",-85.1330032348633,26.216999053955103,"USNM","Invertebrate Zoology: Coelenterates","53680.26962","urn:lsid:marinespecies.org:taxname:135306","Aurelia aurita",,,,,,,,,,,"Scyphozoa",,,,,,,,,,73.5,,,,,,,"Ulmaridae",,,,,,"Aurelia",,,,,,,,,,,"1",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",1070038655,,,,,500,,,,,,"Aurelia aurita",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,408472,,,,135306,"1967"
2069841,"Aurelia aurita","(Linnaeus, 1758)","1973-02-22 12:00:00",149.75,-37.5,"mv","Invertebrates","F 81855","urn:lsid:marinespecies.org:taxname:135306","Aurelia aurita",,,,,,,,,,,"Scyphozoa",,,,,,,,,,,,,,,,,"Ulmaridae",,,,,,"Aurelia",,,,,,,,,,,"1",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",868744831,,,,,77,,,,,,"Aurelia aurita",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,408472,,,,135306,"1973"
3823812,"Aurelia aurita","(Linnaeus, 1758)","1984-07-02 00:00:00",-132.50895690918,53.6318283081055,"BIO","GHI","1078-26247","urn:lsid:marinespecies.org:taxname:135306","Aurelia aurita",,,,,,,,,,,"Scyphozoa",,,,,,,,,,0,,,,,,,"Ulmaridae",,,,,,"Aurelia",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",1070068351,,,,,35,,,,,,"Aurelia aurita",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,408472,,,,135306,"1984"
4215003,"Aurelia aurita","(Linnaeus, 1758)",,93,10,"NCL","INDOBIS-DATASET1","40217","urn:lsid:marinespecies.org:taxname:135306","Aurelia aurita",,,,,,,,,,,"Scyphozoa",,,,,,,,,,,,,,,,,"Ulmaridae",,,,,,"Aurelia",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",1002962495,,,,,71,,,,,,"Aurelia aurita",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,408472,,,,135306,
4341600,"Aurelia aurita","(Linnaeus, 1758)","1938-09-04 12:00:00",-52.766998291015604,48.4169998168945,"USNM","Invertebrate Zoology: Coelenterates","53869.27135","urn:lsid:marinespecies.org:taxname:135306","Aurelia aurita",,,,,,,,,,,"Scyphozoa",,,,,,,,,,,,,,,,,"Ulmaridae",,,,,,"Aurelia",,,,,,,,,,,"4",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",1057455743,,,,,500,,,,,,"Aurelia aurita",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,408472,,,,135306,"1938"
4523844,"Aurelia aurita","(Linnaeus, 1758)","1914-03-20 12:00:00",-79.8669967651367,27.0830001831055,"USNM","Invertebrate Zoology: Coelenterates","41529.18527","urn:lsid:marinespecies.org:taxname:135306","Aurelia aurita",,,,,,,,,,,"Scyphozoa",,,,,,,,,,250,,,,,,,"Ulmaridae",,,,,,"Aurelia",,,,,,,,,,,"1",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",1057455743,,,,,500,,,,,,"Aurelia aurita",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,408472,,,,135306,"1914"
