"id","scientificName","scientificNameAuthorship","eventDate","decimalLongitude","decimalLatitude","institutionCode","collectionCode","catalogNumber","scientificNameID","originalscientificname","acceptedNameUsage","acceptedNameUsageID","accessRights","associatedMedia","associatedReferences","associatedSequences","associatedTaxa","basisOfRecord","behavior","bibliographicCitation","class","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","countryCode","county","dataGeneralizations","datasetID","dateIdentified","depth","division","dynamicProperties","establishmentMeans","eventID","eventRemarks","eventTime","family","fieldNotes","fieldNumber","footprintSRS","footprintWKT","forma","genus","geodeticDatum","habitat","higherClassification","higherGeography","higherGeographyID","identificationID","identificationQualifier","identificationReferences","identificationRemarks","identifiedBy","individualCount","individualID","informationWithheld","infraclass","infrakingdom","infraorder","infraphylum","institutionID","island","islandGroup","kingdom","language","lifeStage","locality","locationAccordingTo","locationID","locationRemarks","materialSampleID","maximumDepthInMeters","minimumDepthInMeters","modified","municipality","nameAccordingTo","nameAccordingToID","namePublishedIn","namePublishedInID","occurrenceID","occurrenceRemarks","occurrenceStatus","order","originalNameUsage","originalNameUsageID","otherCatalogNumbers","ownerInstitutionCode","parvorder","phylum","qc","recordNumber","recordedBy","references","reproductiveCondition","resource_id","rights","rightsHolder","section","sex","source","species","stateProvince","subclass","subdivision","subfamily","subforma","subgenus","subkingdom","suborder","subphylum","subsection","subspecies","subterclass","subtribe","subvariety","superclass","superfamily","superorder","supertribe","taxonConceptID","taxonID","taxonRank","taxonRemarks","taxonomicStatus","taxonomicgroup","tribe","type","typeStatus","valid_id","variety","vernacularName","waterBody","worms_id","year"
128496,"Pelagia noctiluca","(Forsskål, 1775)",,93,10,"NCL","INDOBIS-DATASET1","40215","urn:lsid:marinespecies.org:taxname:135305","Pelagia noctiluca",,,,,,,,,,,"Scyphozoa",,,,,,,,,,,,,,,,,"Pelagiidae",,,,,,"Pelagia",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",850918975,,,,,71,,,,,,"Pelagia noctiluca",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,699608,,,,135305,
770353,"Pelagia noctiluca","(Forsskål, 1775)","1967-09-01 12:00:00",-24.867000579834,45.0999984741211,"USNM","Invertebrate Zoology: Coelenterates","53703.26985","urn:lsid:marinespecies.org:taxname:135305","Pelagia noctiluca",,,,,,,,,,,"Scyphozoa",,,,,,,,,,850,,,,,,,"Pelagiidae",,,,,,"Pelagia",,,,,,,,,,,"1",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",1051164287,,,,,500,,,,,,"Pelagia noctiluca",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,699608,,,,135305,"1967"
1073628,"Pelagia noctiluca","(Forsskål, 1775)","1967-09-02 12:00:00",-24.9169998168945,45.132999420165994,"USNM","Invertebrate Zoology: Coelenterates","53693.26974","urn:lsid:marinespecies.org:taxname:135305","Pelagia noctiluca",,,,,,,,,,,"Scyphozoa",,,,,,,,,,1200,,,,,,,"Pelagiidae",,,,,,"Pelagia",,,,,,,,,,,"1",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",1051164287,,,,,500,,,,,,"Pelagia noctiluca",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,699608,,,,135305,"1967"
1095651,"Pelagia noctiluca","(Forsskål, 1775)","1978-05-17 12:00:00",-16.7174997329712,42.077501296997,"Southampton Oceanography Ceter","discovery","980158_85_MED_101001","urn:lsid:marinespecies.org:taxname:135305","Pelagia noctiluca",,,,,,,,,,,"Scyphozoa",,,,,,,,,,1000,,,,,,,"Pelagiidae",,,,,,"Pelagia",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",1051197055,,,,,12,,,,,,"Pelagia noctiluca",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,699608,,,,135305,"1978"
1174674,"Pelagia noctiluca","(Forsskål, 1775)","1969-04-27 12:00:00",-63.9500007629395,31.9829998016357,"USNM","Invertebrate Zoology: Coelenterates","58320.31426","urn:lsid:marinespecies.org:taxname:135305","Pelagia noctiluca",,,,,,,,,,,"Scyphozoa",,,,,,,,,,425,,,,,,,"Pelagiidae",,,,,,"Pelagia",,,,,,,,,,,"3",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",988249727,,,,,500,,,,,,"Pelagia noctiluca",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,699608,,,,135305,"1969"
1295612,"Pelagia noctiluca","(Forsskål, 1775)","1978-11-06 12:00:00",-18.066669464111303,18.4699993133545,"USNM","Invertebrate Zoology: Coelenterates","58434.31535","urn:lsid:marinespecies.org:taxname:135305","Pelagia noctiluca",,,,,,,,,,,"Scyphozoa",,,,,,,,,,17,,,,,,,"Pelagiidae",,,,,,"Pelagia",,,,,,,,,,,"1",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",984055423,,,,,500,,,,,,"Pelagia noctiluca",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,699608,,,,135305,"1978"
1479436,"Pelagia noctiluca","(Forsskål, 1775)","1978-05-18 12:00:00",-16.8692007064819,41.805000305175795,"Southampton Oceanography Ceter","discovery","980174_86_MED_101001","urn:lsid:marinespecies.org:taxname:135305","Pelagia noctiluca",,,,,,,,,,,"Scyphozoa",,,,,,,,,,1000,,,,,,,"Pelagiidae",,,,,,"Pelagia",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",1051197055,,,,,12,,,,,,"Pelagia noctiluca",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,699608,,,,135305,"1978"
1578617,"Pelagia noctiluca","(Forsskål, 1775)","1967-12-08 12:00:00",-169.457992553711,-17.5580005645752,"USNM","Invertebrate Zoology","1076108.878288","urn:lsid:marinespecies.org:taxname:135305","Pelagia noctiluca",,,,,,,,,,,"Scyphozoa",,,,,,,,,,571.5,,,,,,,"Pelagiidae",,,,,,"Pelagia",,,,,,,,,,,"12",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",849837695,,,,,500,,,,,,"Pelagia noctiluca",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,699608,,,,135305,"1967"
1699508,"Pelagia noctiluca","(Forsskål, 1775)","1886-09-18 12:00:00",-70.9499969482422,38.491668701171896,"USNM","Invertebrate Zoology: Coelenterates","15240.10813","urn:lsid:marinespecies.org:taxname:135305","Pelagia noctiluca",,,,,,,,,,,"Scyphozoa",,,,,,,,,,2983,,,,,,,"Pelagiidae",,,,,,"Pelagia",,,,,,,,,,,"2",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",1000832639,,,,,500,,,,,,"Pelagia noctiluca",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,699608,,,,135305,"1886"
1780377,"Pelagia noctiluca","(Forsskål, 1775)","1961-04-27 12:00:00",-88.0329971313477,29,"USNM","Invertebrate Zoology: Coelenterates","54376.27568","urn:lsid:marinespecies.org:taxname:135305","Pelagia noctiluca",,,,,,,,,,,"Scyphozoa",,,,,,,,,,1097,,,,,,,"Pelagiidae",,,,,,"Pelagia",,,,,,,,,,,"7",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",985103999,,,,,500,,,,,,"Pelagia noctiluca",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,699608,,,,135305,"1961"
